,"CO2, ppm","TGAS, °C"
2017-05-04 11:31:14 AM ,425.3,13.71
2017-05-04 11:31:29 AM ,429.1,13.74
2017-05-04 11:31:44 AM ,429.1,13.71
2017-05-04 11:31:59 AM ,435.5,13.71
2017-05-04 11:32:14 AM ,436.1,13.71
2017-05-04 11:32:29 AM ,440.7,13.71
2017-05-04 11:32:44 AM ,445.4,13.74
2017-05-04 11:32:59 AM ,443.4,13.77
2017-05-04 11:33:14 AM ,447.0,13.77
2017-05-04 11:33:29 AM ,453.0,13.80
2017-05-04 11:33:44 AM ,451.8,13.85
2017-05-04 11:33:59 AM ,458.5,13.85
2017-05-04 11:34:14 AM ,458.1,13.85
2017-05-04 11:34:29 AM ,461.3,13.85
